Maximum_humidity_,Average_humidity_,Minimum_humidity_,Precipitation_mm,Average_temperature_C,Maximum_temperature_C,Minimum_temperature_C,Heating_Degree_Days_Base_20_C,Heating_Degree_Days_base_18_C,Cooling_Degree_Days_Base_21_C,Average_speed_ms,Gust_speed_ms,Stay_time_min,Calm_duration_min,Ava_date
97.0,70.0,49.0,0.0,0.0,4.1,-3.6,19.8,17.8,0.0,1.9,13.3,400.0,40.0,0.0
54.0,33.0,18.0,0.0,-6.1,-1.8,-9.2,25.5,23.5,0.0,2.5,16.2,500.0,0.0,1.0
90.0,43.0,18.0,1.2,-6.4,-2.8,-9.6,26.2,24.2,0.0,1.4,7.3,440.0,40.0,0.0
91.0,87.0,73.0,1.4,-8.5,-5.1,-11.6,28.4,26.4,0.0,1.4,7.3,440.0,40.0,1.0
94.0,87.0,70.0,0.0,-9.0,-3.8,-12.1,28.0,26.0,0.0,0.6,3.9,440.0,800.0,1.0
80.0,58.0,34.0,0.0,-5.1,0.7,-8.4,23.9,21.9,0.0,1.1,4.5,510.0,90.0,1.0
93.0,54.0,20.0,6.0,-6.1,-0.1,-8.7,24.4,22.4,0.0,1.4,7.3,440.0,40.0,1.0
98.0,96.0,93.0,6.0,-4.9,-2.9,-6.9,24.9,22.9,0.0,1.4,7.3,440.0,40.0,1.0
100.0,98.0,94.0,9.0,-2.5,0.2,-3.8,21.8,19.8,0.0,1.4,7.3,440.0,40.0,1.0
98.0,90.0,71.0,0.0,-4.6,0.8,-8.2,23.7,21.7,0.0,1.4,7.3,440.0,40.0,1.0
80.0,68.0,47.0,0.0,-6.0,1.9,-8.9,23.5,21.5,0.0,1.1,4.4,440.0,170.0,1.0
96.0,71.0,40.0,0.0,-6.2,1.1,-8.5,23.7,21.7,0.0,1.4,7.3,440.0,40.0,1.0
97.0,86.0,60.0,0.0,-4.7,0.5,-6.9,23.2,21.2,0.0,1.4,7.3,440.0,40.0,0.0
96.0,88.0,76.0,0.0,-6.3,-4.0,-8.8,26.4,24.4,0.0,1.4,7.3,440.0,40.0,0.0
95.0,72.0,45.0,0.0,-1.8,6.5,-6.4,20.0,18.0,0.0,1.0,7.6,590.0,0.0,1.0
93.0,56.0,37.0,0.0,-1.5,2.1,-4.2,21.1,19.1,0.0,0.8,3.0,440.0,220.0,0.0
93.0,58.0,28.0,0.0,0.0,5.2,-2.5,18.7,16.7,0.0,1.6,9.5,440.0,40.0,0.0
59.0,41.0,28.0,0.0,-0.8,5.4,-4.4,19.5,17.5,0.0,1.0,4.9,560.0,110.0,1.0
52.0,38.0,20.0,0.0,-1.6,7.7,-5.5,18.9,16.9,0.0,1.2,3.1,920.0,50.0,1.0
66.0,51.0,37.0,0.0,-3.0,1.4,-6.8,22.7,20.7,0.0,1.3,10.0,450.0,70.0,0.0
57.0,30.0,15.0,0.0,-0.3,5.0,-3.5,19.3,17.3,0.0,1.5,10.5,210.0,30.0,1.0
57.0,39.0,24.0,0.0,-1.9,6.4,-5.1,19.4,17.4,0.0,1.1,3.1,710.0,70.0,0.0
37.0,28.0,17.0,0.0,1.1,8.0,-1.9,17.0,15.0,0.0,1.4,3.3,1000.0,50.0,1.0
65.0,35.0,17.0,0.0,-0.2,6.5,-5.4,19.5,17.5,0.0,1.0,4.0,440.0,290.0,0.0
92.0,74.0,54.0,0.0,-4.9,-0.3,-7.0,23.7,21.7,0.0,1.4,7.3,440.0,40.0,0.0
95.0,76.0,47.0,0.0,-5.3,0.5,-8.0,23.8,21.8,0.0,1.4,7.3,440.0,40.0,1.0
100.0,71.0,15.0,0.0,-2.4,3.5,-7.2,21.9,19.9,0.0,1.4,7.3,440.0,40.0,1.0
57.0,41.0,27.0,0.0,-0.1,3.4,-3.3,20.0,18.0,0.0,4.3,19.1,850.0,0.0,1.0
89.0,49.0,26.0,0.0,-1.9,4.9,-4.6,19.9,17.9,0.0,1.2,9.2,380.0,30.0,1.0
88.0,49.0,28.0,0.0,-5.7,-3.2,-9.0,26.1,24.1,0.0,2.7,17.2,510.0,0.0,0.0
51.0,34.0,20.0,0.0,-9.4,-4.2,-12.5,28.4,26.4,0.0,2.2,19.5,440.0,10.0,1.0
54.0,29.0,14.0,0.0,-8.2,-4.3,-11.2,27.8,25.8,0.0,2.1,14.2,310.0,0.0,0.0
52.0,35.0,21.0,0.0,-4.4,0.5,-9.3,24.4,22.4,0.0,3.0,19.4,400.0,0.0,1.0
49.0,38.0,23.0,0.0,1.9,9.2,-4.9,17.9,15.9,0.0,2.4,11.9,640.0,0.0,1.0
94.0,66.0,36.0,0.8,-3.4,1.0,-7.1,23.1,21.1,0.0,1.4,7.3,440.0,40.0,1.0
98.0,88.0,53.0,12.4,-3.2,-0.7,-4.8,22.8,20.8,0.0,1.4,7.3,440.0,40.0,1.0
62.0,50.0,31.0,0.0,-0.9,2.3,-2.7,20.2,18.2,0.0,1.9,13.3,370.0,20.0,1.0
60.0,47.0,26.0,0.0,-0.9,7.4,-4.1,18.4,16.4,0.0,1.3,6.9,540.0,100.0,1.0
94.0,60.0,33.0,0.0,-3.9,2.8,-7.5,22.4,20.4,0.0,1.4,7.3,440.0,40.0,1.0
95.0,86.0,69.0,0.0,-5.2,-1.6,-7.1,24.4,22.4,0.0,1.4,7.3,440.0,40.0,1.0
93.0,65.0,39.0,0.0,-5.7,0.1,-8.2,24.1,22.1,0.0,1.4,7.3,440.0,40.0,0.0
93.0,74.0,46.0,2.0,-7.8,-5.6,-10.3,28.0,26.0,0.0,1.4,7.3,440.0,40.0,1.0
92.0,66.0,30.0,0.4,-6.4,1.8,-11.2,24.7,22.7,0.0,1.4,7.3,440.0,40.0,1.0
79.0,55.0,32.0,0.0,-5.8,1.8,-9.3,23.8,21.8,0.0,1.4,7.3,440.0,40.0,1.0
90.0,67.0,43.0,0.0,-7.0,-1.2,-10.0,25.6,23.6,0.0,1.2,4.4,650.0,70.0,1.0
94.0,60.0,30.0,0.0,-5.3,1.5,-8.7,23.6,21.6,0.0,1.4,7.3,440.0,40.0,1.0
95.0,87.0,69.0,0.0,-5.8,-2.9,-7.6,25.3,23.3,0.0,1.4,7.3,440.0,40.0,1.0
100.0,95.0,90.0,2.8,-3.8,-1.4,-6.0,23.7,21.7,0.0,1.4,7.3,440.0,40.0,1.0
100.0,82.0,52.0,0.0,0.1,7.9,-4.6,18.4,16.4,0.0,1.1,4.5,440.0,50.0,1.0
100.0,89.0,57.0,15.0,-1.5,1.8,-2.9,20.6,18.6,0.0,1.4,7.3,440.0,40.0,1.0
66.0,45.0,26.0,0.0,-3.7,0.5,-7.3,23.4,21.4,0.0,1.2,11.7,440.0,610.0,1.0
95.0,59.0,25.0,0.0,-3.6,5.3,-7.5,21.1,19.1,0.0,1.4,7.3,440.0,40.0,1.0
100.0,88.0,66.0,1.6,-3.4,0.8,-6.2,22.7,20.7,0.0,1.4,7.3,440.0,40.0,0.0
97.0,85.0,57.0,0.0,0.0,6.3,-5.1,19.4,17.4,0.0,1.4,7.3,440.0,40.0,1.0
82.0,62.0,36.0,0.0,2.0,8.0,-0.8,16.4,14.4,0.0,1.3,10.1,580.0,40.0,1.0
100.0,78.0,47.0,6.6,0.6,6.9,-1.4,17.3,15.3,0.0,1.4,7.3,440.0,40.0,0.0
100.0,74.0,40.0,6.4,-0.5,3.1,-3.2,20.1,18.1,0.0,1.4,7.3,440.0,40.0,1.0
98.0,58.0,16.0,3.4,-0.7,7.0,-4.4,18.7,16.7,0.0,1.4,7.3,440.0,40.0,1.0
100.0,83.0,51.0,10.0,-0.7,5.2,-3.7,19.3,17.3,0.0,1.4,7.3,440.0,40.0,0.0
77.0,41.0,18.0,0.0,2.0,8.7,-2.3,16.8,14.8,0.0,1.6,8.3,380.0,20.0,1.0
73.0,40.0,22.0,0.0,1.7,7.4,-1.4,17.0,15.0,0.0,1.9,9.0,400.0,0.0,0.0
100.0,74.0,36.0,0.0,-1.4,0.2,-2.6,21.2,19.2,0.0,1.4,7.3,440.0,40.0,0.0
100.0,81.0,52.0,0.0,-0.6,4.6,-3.5,19.5,17.5,0.0,1.4,7.3,440.0,40.0,0.0
57.0,35.0,21.0,0.0,-4.4,-0.7,-9.1,24.9,22.9,0.0,2.2,11.4,510.0,0.0,0.0
51.0,36.0,21.0,0.0,-4.5,1.1,-9.2,24.1,22.1,0.0,1.7,10.4,290.0,0.0,0.0
93.0,78.0,42.0,0.0,-7.8,-5.1,-9.5,27.3,25.3,0.0,1.4,7.3,440.0,40.0,0.0
88.0,74.0,48.0,0.0,-8.4,-1.5,-12.2,26.9,24.9,0.0,1.4,7.3,440.0,40.0,0.0
90.0,75.0,50.0,0.0,-9.9,-6.8,-12.1,29.5,27.5,0.0,1.4,7.3,440.0,40.0,0.0
94.0,87.0,65.0,0.0,-6.6,-2.1,-9.7,25.9,23.9,0.0,1.4,7.3,440.0,40.0,0.0
93.0,70.0,39.0,0.0,-4.2,3.6,-10.1,23.3,21.3,0.0,1.4,7.3,440.0,40.0,0.0
93.0,61.0,38.0,0.0,-2.5,4.1,-6.5,21.2,19.2,0.0,1.3,4.8,640.0,60.0,0.0
63.0,37.0,14.0,0.0,0.3,7.9,-5.4,18.8,16.8,0.0,1.3,6.9,670.0,10.0,0.0
38.0,24.0,14.0,0.0,2.6,8.5,-1.7,16.6,14.6,0.0,2.0,11.1,480.0,10.0,0.0
57.0,43.0,29.0,0.0,-1.3,2.8,-4.5,20.9,18.9,0.0,1.4,9.7,280.0,40.0,0.0
57.0,31.0,18.0,0.0,1.5,7.1,-4.7,18.8,16.8,0.0,2.0,12.4,380.0,30.0,0.0
34.0,26.0,16.0,0.0,3.8,10.3,-1.1,15.4,13.4,0.0,1.4,6.2,750.0,70.0,0.0
95.0,46.0,11.0,0.0,4.3,11.4,0.3,14.2,12.2,0.0,1.3,6.7,630.0,80.0,0.0
98.0,71.0,39.0,0.0,3.6,10.0,-0.7,15.4,13.4,0.0,1.4,7.3,440.0,40.0,0.0
100.0,92.0,70.0,0.0,2.6,6.6,0.6,16.4,14.4,0.0,1.4,7.3,440.0,40.0,0.0
100.0,92.0,62.0,0.4,4.2,11.0,1.1,14.0,12.0,0.0,0.6,4.0,440.0,570.0,0.0
100.0,94.0,68.0,0.4,3.9,9.0,1.7,14.7,12.7,0.0,0.4,2.5,440.0,560.0,0.0
100.0,81.0,35.0,0.4,5.0,12.2,0.8,13.5,11.5,0.0,1.4,7.3,440.0,40.0,0.0
100.0,85.0,66.0,0.0,4.0,7.3,2.3,15.2,13.2,0.0,0.6,3.0,440.0,510.0,0.0
100.0,100.0,94.0,6.8,2.6,3.9,1.6,17.3,15.3,0.0,1.4,7.3,440.0,40.0,0.0
100.0,80.0,40.0,20.6,2.4,6.4,-0.1,16.9,14.9,0.0,1.4,7.3,440.0,40.0,1.0
100.0,82.0,43.0,3.4,0.6,6.6,-2.0,17.7,15.7,0.0,1.4,8.6,210.0,10.0,1.0
86.0,59.0,43.0,0.0,4.9,10.1,0.3,14.8,12.8,0.0,1.8,14.8,480.0,0.0,1.0
100.0,72.0,40.0,0.0,5.3,12.2,2.3,12.8,10.8,0.0,1.1,6.2,440.0,50.0,0.0
100.0,81.0,46.0,11.0,2.0,5.9,-0.9,17.5,15.5,0.0,1.4,7.3,440.0,40.0,0.0
72.0,50.0,30.0,0.0,0.7,4.9,-2.3,18.7,16.7,0.0,1.9,12.0,380.0,10.0,1.0
97.0,56.0,28.0,1.8,-0.1,4.4,-5.0,20.3,18.3,0.0,1.4,7.3,440.0,40.0,0.0
59.0,40.0,24.0,0.0,0.5,7.7,-5.6,19.0,17.0,0.0,1.2,6.4,410.0,40.0,0.0
100.0,77.0,53.0,9.2,-0.1,4.7,-3.4,19.4,17.4,0.0,1.4,7.3,440.0,40.0,0.0
100.0,72.0,40.0,7.8,1.0,7.1,-1.5,17.2,15.2,0.0,1.4,7.3,440.0,40.0,0.0
59.0,31.0,11.0,0.0,2.7,9.1,-2.0,16.5,14.5,0.0,3.0,14.4,460.0,0.0,1.0
59.0,36.0,19.0,0.0,7.0,15.7,1.8,11.3,9.3,0.0,1.2,5.0,650.0,90.0,0.0
83.0,58.0,37.0,0.0,5.6,12.1,1.5,13.2,11.2,0.0,0.8,5.7,440.0,370.0,0.0
96.0,79.0,52.0,0.0,4.0,9.9,1.9,14.1,12.1,0.0,1.4,7.3,440.0,40.0,0.0
68.0,46.0,23.0,0.0,6.8,13.5,1.2,12.7,10.7,0.0,1.3,6.8,440.0,50.0,0.0
57.0,43.0,24.0,0.0,7.9,13.9,3.4,11.4,9.4,0.0,1.4,8.1,350.0,60.0,1.0
97.0,76.0,45.0,0.0,1.6,5.9,-3.0,18.6,16.6,0.0,1.1,7.2,340.0,70.0,0.0
100.0,81.0,43.0,0.0,-1.2,4.6,-3.7,19.6,17.6,0.0,1.4,7.3,440.0,40.0,0.0
100.0,78.0,41.0,7.0,0.2,6.8,-3.1,18.2,16.2,0.0,1.4,7.3,440.0,40.0,0.0
73.0,44.0,22.0,0.0,2.6,9.5,-3.6,17.1,15.1,0.0,1.2,7.4,180.0,70.0,0.0
94.0,55.0,29.0,0.0,3.0,9.5,-1.4,16.0,14.0,0.0,1.4,7.3,440.0,40.0,0.0
100.0,70.0,37.0,0.4,2.8,10.4,-0.9,15.3,13.3,0.0,1.4,7.3,440.0,40.0,0.0
100.0,75.0,47.0,0.6,2.8,7.9,-1.1,16.6,14.6,0.0,1.0,6.2,440.0,90.0,0.0
100.0,70.0,39.0,0.0,4.4,10.8,-1.0,15.1,13.1,0.0,1.2,8.0,440.0,60.0,0.0
57.0,39.0,20.0,0.0,7.9,13.4,3.4,11.6,9.6,0.0,1.6,8.5,280.0,40.0,0.0
60.0,43.0,24.0,0.0,8.1,12.6,3.1,12.2,10.2,0.0,1.4,8.4,360.0,20.0,0.0
50.0,34.0,16.0,0.0,9.2,15.2,3.9,10.5,8.5,0.0,1.4,7.4,270.0,40.0,0.0
100.0,55.0,27.0,0.0,9.4,15.0,5.6,9.7,7.7,0.0,1.3,7.7,440.0,290.0,0.0
100.0,92.0,66.0,0.8,5.3,8.8,3.3,14.0,12.0,0.0,0.5,4.1,440.0,720.0,0.0
100.0,84.0,60.0,0.0,6.6,11.2,3.2,12.8,10.8,0.0,0.5,4.4,440.0,790.0,0.0
90.0,61.0,29.0,0.0,10.0,17.2,4.2,9.3,7.3,0.0,1.1,7.6,450.0,140.0,0.0
84.0,49.0,26.0,0.0,11.0,16.4,5.8,8.9,6.9,0.0,1.7,9.0,470.0,40.0,0.0
95.0,80.0,49.0,0.0,7.3,13.3,3.9,11.4,9.4,0.0,0.7,4.2,440.0,290.0,0.0
95.0,65.0,36.0,0.0,10.3,17.4,4.5,9.1,7.1,0.0,1.4,7.9,630.0,60.0,0.0
93.0,68.0,35.0,0.0,11.3,19.2,5.6,7.6,5.6,0.0,1.2,9.0,610.0,130.0,0.0
90.0,67.0,34.0,1.4,10.3,17.6,6.7,7.9,5.9,0.0,1.1,8.8,590.0,40.0,0.0
87.0,67.0,34.0,0.0,9.3,15.6,4.8,9.8,7.8,0.0,1.0,6.9,300.0,140.0,0.0
95.0,76.0,62.0,1.0,7.7,10.1,5.5,12.2,10.2,0.0,0.7,6.4,440.0,310.0,0.0
100.0,67.0,29.0,5.6,5.8,11.3,2.1,13.3,11.3,0.0,0.8,7.2,440.0,390.0,0.0
100.0,100.0,93.0,7.8,3.5,5.2,1.4,16.7,14.7,0.0,0.5,4.2,440.0,430.0,0.0
100.0,99.0,90.0,43.2,2.2,7.0,0.1,16.5,14.5,0.0,1.4,7.3,440.0,40.0,0.0
100.0,82.0,57.0,0.0,3.9,9.0,0.2,15.4,13.4,0.0,1.4,7.3,440.0,40.0,0.0
100.0,82.0,60.0,0.0,3.3,7.3,-0.4,16.6,14.6,0.0,1.4,7.3,440.0,40.0,0.0
